Name,Title,Year,Season
柊かがみ,らき☆すた,2007,Q2
日下部みさお,らき☆すた,2007,Q2
瀬川泉,ハヤテのごとく！,2007,Q2
三千院ナギ,ハヤテのごとく！,2007,Q2
南冬馬,みなみけ,2007,Q4
南夏奈,みなみけ,2007,Q4
内田ユカ,みなみけ,2007,Q4
エーリカ・ハルトマン,ストライクウィッチーズ,2008,Q3
御坂美琴,とある魔術の禁書目録,2008,Q4
国広一,咲-Saki-,2009,Q2
中野梓,けいおん！,2009,Q2
野田ミキ,"GA 芸術科アートデザインクラス",2009,Q3
坂崎嘉穂,よくわかる現代魔法,2009,Q3
森下こよみ,よくわかる現代魔法,2009,Q3
島田美波,バカとテストと召喚獣,2010,Q1
室見立華,"なれる!SE",2010,Q2
山田葵,WORKING!!,2010,Q2
伊波まひる,WORKING!!,2010,Q2
萩村スズ,生徒会役員共,2010,Q3
明智小衣,"探偵オペラ ミルキィホームズ",2010,Q4
譲崎ネロ,"探偵オペラ ミルキィホームズ",2010,Q4
柊ノア,えむえむっ！,2010,Q4
石動美緒,えむえむっ！,2010,Q4
来栖加奈子,俺の妹がこんなに可愛いわけがない,2010,Q4
凰鈴音,"IS <インフィニット・ストラトス>",2011,Q1
ラウラ・ボーデヴィッヒ,"IS <インフィニット・ストラトス>",2011,Q1
メリー・ナイトメア,夢喰いメリー,2011,Q1
佐倉杏子,魔法少女まどか☆マギカ,2011,Q1
美樹さやか,魔法少女まどか☆マギカ,2011,Q1
レベッカ・アンダーソン,"DOG DAYS",2011,Q2
一井透,Aチャンネル,2011,Q2
神木出雲,青の祓魔師,2011,Q2
神崎・H・アリア,緋弾のアリア,2011,Q2
船見結衣,ゆるゆり,2011,Q3
赤座あかり,ゆるゆり,2011,Q3
三沢真帆,ロウきゅーぶ！,2011,Q3
フィア・キューブリック,"C3 -シーキューブ-",2011,Q4
ソーニャ,キルミーベイベー,2012,Q1
坂井和奏,"TARI TARI",2012,Q3
シリカ,ソードアート・オンライン,2012,Q3
星輝子,アイドルマスターシンデレラガールズ,2012,Q3
角谷杏,ガールズ＆パンツァー,2012,Q4
西住みほ,ガールズ＆パンツァー,2012,Q4
カチューシャ,ガールズ＆パンツァー,2012,Q4
小鳥遊六花,中二病でも恋がしたい！,2012,Q4
那須原アナスタシア,お兄ちゃんだけど愛さえあれば関係ないよねっ,2012,Q4
矢澤にこ,"ラブライブ！ School idol project",2013,Q1
神無月環,GJ部,2013,Q1
一色あかね,ビビッドレッド・オペレーション,2013,Q1
戸塚彩加,"やはり俺の青春ラブコメはまちがっている。",2013,Q2
櫟井唯,ゆゆ式,2013,Q2
曙,艦これ,2013,Q2
雷,艦これ,2013,Q2
霞,艦これ,2013,Q2
響,艦これ,2013,Q2
川内,艦これ,2013,Q2
朝潮,艦これ,2013,Q2
皐月,艦これ,2013,Q2
龍驤,艦これ,2013,Q2
不知火,艦これ,2013,Q2
Гангут,艦これ,2013,Q2
Ташкент,艦これ,2013,Q2
Верный,艦これ,2013,Q2
五河琴里,デート・ア・ライブ,2013,Q2
鳶一折紙,デート・ア・ライブ,2013,Q2
フレンダ＝セイヴェルン,とある魔術の禁書目録,2013,Q2
結城晴,アイドルマスターシンデレラガールズ,2013,Q2
美遊・エーデルフェルト,"Fate/kaleid liner プリズマ☆イリヤ",2013,Q3
クロエ・フォン・アインツベルン,"Fate/kaleid liner プリズマ☆イリヤ",2013,Q3
イリヤスフィール・フォン・アインツベルン,"Fate/kaleid liner プリズマ☆イリヤ",2013,Q3
道明寺桜,帰宅部活動記録,2013,Q3
小路綾,きんいろモザイク,2013,Q3
九条カレン,きんいろモザイク,2013,Q3
雪平ふらの,"俺の脳内選択肢が、学園ラブコメを全力で邪魔している",2013,Q4
越谷夏海,のんのんびより,2013,Q4
宮内ひかげ,のんのんびより,2013,Q4
伏見いなり,"いなり、こんこん、恋いろは。",2014,Q1
夜ノ森小紅,未確認で進行形,2014,Q1
末続このは,未確認で進行形,2014,Q1
藍原延珠,ブラック・ブレット,2014,Q2
条河麻耶,ご注文はうさぎですか？,2014,Q2
香風智乃,ご注文はうさぎですか？,2014,Q2
天々座理世,ご注文はうさぎですか？,2014,Q2
音砂みはり,マンガ家さんとアシスタントさんと,2014,Q2
有川ひめ,ひめゴト,2014,Q3
織田光永,ひめゴト,2014,Q3
